question_id;context_question;question_text;modelantwoord_deel1_prefix;modelantwoord_deel1_completion;modelantwoord_deel2_prefix;modelantwoord_deel2_completion;student_id;antwoord_deel1_prefix;antwoord_deel1_completion;antwoord_deel2_prefix;antwoord_deel2_completion;ai_score_deel1;ai_score_deel2;ai_score_total;ai_confidence;deel1_light_highlight;deel1_dark_highlight;deel2_light_highlight;deel2_dark_highlight;pt1_similar_right;pt1_similar_wrong;pt1_sim_response_1;pt1_sim_response_score_1;pt1_sim_response_2;pt1_sim_response_score_2;pt1_sim_response_3;pt1_sim_response_score_3;pt2_similar_right;pt2_similar_wrong;pt2_sim_response_1;pt2_sim_response_score_1;pt2_sim_response_2;pt2_sim_response_score_2;pt2_sim_response_3;pt2_sim_response_score_3
3;aaaa;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;1;Student's part 1:;This is student 1's answer to part 1 of question 3.;Student's part 2:;This is student 1's answer to part 2 of question 3.;1;1;2;99;first, part;answer, concept;part, concept;second, model, answer;10;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
3;aaaa;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;2;Student's part 1:;This is student 2's answer to part 1 of question 3.;Student's part 2:;This is student 2's answer to part 2 of question 3.;1;0;1;85;first, part;answer, concept;part, concept;second, model, answer;11;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
3;aaaa;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;3;Student's part 1:;This is student 3's answer to part 1 of question 3.;Student's part 2:;This is student 3's answer to part 2 of question 3.;1;1;2;95;first, part;answer, concept;part, concept;second, model, answer;12;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
3;aaaa;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;4;Student's part 1:;This is student 4's answer to part 1 of question 3.;Student's part 2:;This is student 4's answer to part 2 of question 3.;0;1;1;72;first, part;answer, concept;part, concept;second, model, answer;91;1;First respons tesxt.;;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;;tweede response….;0;derde sim response…;1
4;Als er veel uitwerpselen en ander organisch materiaal naar de bodem van een vijver zakken, is het voedselaanbod voor de organismen op en in de bodem groot.; Leg uit wat hiervan het directe gevolg is voor het zuurstofverbruik door organismen op en in de bodem.;Het directe gevolg is;Het zuurstofverbruik stijgt na verloop van tijd;Uitleg;doordat de organismen bij voldoende voedselaanbod groeien / zich voortplanten;1;Het directe gevolg is; Dat het zuurstof meer afneemt en koolstofdioxide meer toeneemt voor de organismen op en in de bodem maar dat ook de organismen meer toenemen waardoor er meer organismen onstaan en meer voortplanting plaats vindt;Uitleg;Omdat ze dan meer gaan eten dus dan ook meer zuurstof nodig hebben dus ook meer zuurstof op gaan nemen waardoor het zuurstof vermindert en doordat ze dan meer gaan eten en meer zuurstof binnen krijgen geven ze ook meer koolstofdioxide af waardoor het zuurstof vermindert en het koolstofdioxide toeneemt maar ook omdat de organismen toenemen word er meer voortplanting gedaan waardoor er uiteindelijk veel te veel voedsel ontstaat voor andere organismen en de organismen alleen maar toe gaan nemen waardoor er uiteindelijk niet genoeg plek meer is voor alle organismen in de omgeving;1;1;2;55;bodem, meer, voortplanting;afneemt, koolstofdioxide, toeneemt;zuurstof, eten, koolstofdioxide, voedsel, ;koolstofdioxide, meer;9;0;doordat er dan allemaal andere stoffen in de vijver terecht komen en dat kan schadelijk zijn voor alle vissen en reducenten die daar in de vijver zitten waardoor de reducenten dat gaan eten en ze krijgen dan een stof binnen waar die reducenten niet tegen kunnen waardoor de dieren die reducenten eten geen eten krijgen en die gaan dan dood en dan hebben de vissen een eten en daardoor komt er geen zuurstof meer in de vijver.;0;doordat er veer meer voedsel is voor de reducenten kunnen ze zich veel beter voortplanten waardoor er meer miniralen en andere voedingstoffen in het water vrijkomen doordat er extra miniralen in het water zijn kunnen de planten die in en van de waterbron leven meer zuurtstof maken doordat hun ook groten en meer kunnen groeien;1;doordat er veer meer voedsel is voor de reducenten kunnen ze zich veel beter voortplanten waardoor er meer miniralen en andere voedingstoffen in het water vrijkomen doordat er extra miniralen in het water zijn kunnen de planten die in en van de waterbron leven meer zuurtstof maken doordat hun ook groten en meer kunnen groeien;1;5;5;eerste respons….;0;tweede response….;1;derde sim response…;1
4;Als er veel uitwerpselen en ander organisch materiaal naar de bodem van een vijver zakken, is het voedselaanbod voor de organismen op en in de bodem groot.; Leg uit wat hiervan het directe gevolg is voor het zuurstofverbruik door organismen op en in de bodem.;Het directe gevolg is;Het zuurstofverbruik stijgt na verloop van tijd;Uitleg;doordat de organismen bij voldoende voedselaanbod groeien / zich voortplanten;2;Het directe gevolg is;dat de organismen op en in de bodem van de vijver meer zuurstof verbruiken. ;Uitleg;De organismen op en in de bodem van de vijver verbruiken meer zuurstof omdat het voedsel aanbod aanzienelijk vergroot en de meeste organisme daarvan kunnen eten. Het kost energie om voedsel te verteren dus er is meer koolstofdioxide die vrij komt. Als bijna alle organismen op en in de bodem van de vijver het voedsel gaan verteren komt er van hun allen koolstofdioxide vrij en word en meer zuurstof door hun opgenomen omdat ze veel energie verbruiken bij het benutigen van de grote hoeveelheid voedsel aanbod. ;1;1;2;98;bodem, verbruiken;meer;kost, energie, meer, verteren, opgenomen;veel, vergroot;9;0;Dat organismen die in de bovenkant van de vijver leven minder voedselaanbod krijgen.;1;bodemword steeds dikker belaagd door uitwerpselen hierdoor minder zuurstof dus minder voedingstoffen minder zuurstof en minder voeidingstoffen betekent dode organsime;1;de organisme op de bodem verbuiken alle zuurstof waardoor de andere organisme in het water zouden overlijden;1;5;5;eerste respons….;1;tweede response….;1;derde sim response…;1
4;Als er veel uitwerpselen en ander organisch materiaal naar de bodem van een vijver zakken, is het voedselaanbod voor de organismen op en in de bodem groot.; Leg uit wat hiervan het directe gevolg is voor het zuurstofverbruik door organismen op en in de bodem.;Het directe gevolg is;Het zuurstofverbruik stijgt na verloop van tijd;Uitleg;doordat de organismen bij voldoende voedselaanbod groeien / zich voortplanten;3;Het directe gevolg is;groei in populate dat zorgt voor veel meer zuurstof gebruik;Uitleg;omdat vissen gernalen enz. veel eten worden ze sneller groter en gaan ze sneller paren een gernaal kan tot 100-200 eieren leggen als dat te veel gebeurt word het ecosysteem hele maal in breuken gebracht want dan komen ook weer meer roofdieren omdatze weer meer kunnen eten dat zorgt dat de hogere rang dieren meer eten en meer gaan paren en dit gevolg word uit eindelijk een gebrek aan zuurstof omdat er te veel dieren zijn.;0;1;1;90;groei;meer, zuurstof;veel, eten, meer, roofdieren;gebrek, zuurstof;9;0;Dat organismen die in de bovenkant van de vijver leven minder voedselaanbod krijgen.;1;bodemword steeds dikker belaagd door uitwerpselen hierdoor minder zuurstof dus minder voedingstoffen minder zuurstof en minder voeidingstoffen betekent dode organsime;1;de organisme op de bodem verbuiken alle zuurstof waardoor de andere organisme in het water zouden overlijden;1;5;5;eerste respons….;1;tweede response….;1;derde sim response…;1
4;Als er veel uitwerpselen en ander organisch materiaal naar de bodem van een vijver zakken, is het voedselaanbod voor de organismen op en in de bodem groot.; Leg uit wat hiervan het directe gevolg is voor het zuurstofverbruik door organismen op en in de bodem.;Het directe gevolg is;Het zuurstofverbruik stijgt na verloop van tijd;Uitleg;doordat de organismen bij voldoende voedselaanbod groeien / zich voortplanten;4;Het directe gevolg is;al het plastic dat in de vijver of zee beland trekt heel veel zuurstof in zich op, dieren kunnen er ook verstrikt in raken en stikken.;Uitleg;doordat al het plastic naar beneden zakt trekt het water en zuurstof mee naar de bodem, terwijl t zinkt kunnen voorbijkomende vissen verstrikt raken in het plastic. Dat zie je de laatste tijd aardig veel veerkomen in de zee, en als het plastic de zuurstof meeneemt. word het heel snel verbruikt of minder voor alle levende organismes in die vijver.;1;0;1;67;plastic, trekt;zuurstof;minder, verbruikt;bodem, snel, minder;9;9;Dat organismen die in de bovenkant van de vijver leven minder voedselaanbod krijgen.;0;bodemword steeds dikker belaagd door uitwerpselen hierdoor minder zuurstof dus minder voedingstoffen minder zuurstof en minder voeidingstoffen betekent dode organsime;0;de organisme op de bodem verbuiken alle zuurstof waardoor de andere organisme in het water zouden overlijden;0;5;5;eerste respons….;0;tweede response….;0;derde sim response…;0
4;Als er veel uitwerpselen en ander organisch materiaal naar de bodem van een vijver zakken, is het voedselaanbod voor de organismen op en in de bodem groot.; Leg uit wat hiervan het directe gevolg is voor het zuurstofverbruik door organismen op en in de bodem.;Het directe gevolg is;Het zuurstofverbruik stijgt na verloop van tijd;Uitleg;doordat de organismen bij voldoende voedselaanbod groeien / zich voortplanten;5;Het directe gevolg is;die niet op de bodem overleven sterven uit en die op de bodem leven die breiden uit.;Uitleg;die niet op de bodem leven die sterven uit omdat er geen zuurstof meer is en weining voedselaanbod. een organismen kan niet leven zonder zuurstof en voedsel dus als dat er niet is dan sterft het. op de bodem daarin tegen leven organismen die daar wel tegen kunnen. en nu zakt alles naar de bodem dus hebben die organismen meer overlevings matrieaal dus kunnen ze zich meer gaan voortplanten.;1;1;2;78;bodem;sterven, leven;geen, zuurstof, zonder, voortplanten;zakt, weinig, voedselaanbod;9;9;Dat organismen die in de bovenkant van de vijver leven minder voedselaanbod krijgen.;0;bodemword steeds dikker belaagd door uitwerpselen hierdoor minder zuurstof dus minder voedingstoffen minder zuurstof en minder voeidingstoffen betekent dode organsime;1;de organisme op de bodem verbuiken alle zuurstof waardoor de andere organisme in het water zouden overlijden;0;5;5;eerste respons….;0;tweede response….;1;derde sim response…;0
4;Als er veel uitwerpselen en ander organisch materiaal naar de bodem van een vijver zakken, is het voedselaanbod voor de organismen op en in de bodem groot.; Leg uit wat hiervan het directe gevolg is voor het zuurstofverbruik door organismen op en in de bodem.;Het directe gevolg is;Het zuurstofverbruik stijgt na verloop van tijd;Uitleg;doordat de organismen bij voldoende voedselaanbod groeien / zich voortplanten;6;Het directe gevolg is;het gevolg van meer uitwerpselen en martialen op de bodem is dat het zuurstof gehalten afneemt en de kolstofdioxside toe neemt er is dus minder zuurstof ;Uitleg;het gevolg van meer uitwerpselen en matrialen op de boem is dat de organisme die op de bodem leven meer eten hebben en daardoor krijgen ze meer voedingsstoffen binne dus stotten ze meer uit en daar door komt er meet kolsofdioxide ook door dat er meer uitwerpselen en matrialen zijn is er minder ruimte voor zuurstof ;0;0;0;51;gevolg;eten, voedinsstoffen;het;koolstofdioxide, zuurstof;9;9;Dat organismen die in de bovenkant van de vijver leven minder voedselaanbod krijgen.;1;bodemword steeds dikker belaagd door uitwerpselen hierdoor minder zuurstof dus minder voedingstoffen minder zuurstof en minder voeidingstoffen betekent dode organsime;1;de organisme op de bodem verbuiken alle zuurstof waardoor de andere organisme in het water zouden overlijden;1;5;5;eerste respons….;1;tweede response….;1;derde sim response…;1
